Title,URL,Start Times
7 things I’ve learned about journalism in 7 years of being a journalist,https://www.youtube.com/watch?v=Rr7povAInwQ,[1001.83]
France Still Has An Empire,https://www.youtube.com/watch?v=xykDDyHDTZY,"[41.63, 304.63, 577.24, 709.15, 808.26, 812.61]"
How I Make My Maps,https://www.youtube.com/watch?v=GsojLuJpe_0,"[8.79, 22.47, 25.42, 43.72, 47.31, 59.43, 78.89, 141.895, 148.03, 151.51, 170.63, 177.71, 191.84, 201.93, 213.12, 215.26, 403.65, 542.24, 749.49, 772.941, 796.39, 798.8, 804.82, 812.06, 824.68, 830.68, 833.9, 838.05, 840.39, 844.85, 850.906, 866.89, 871.03, 885.96, 972.87, 984.62, 985.92, 990.96, 1011.06, 1037.903, 1050.45, 1060.6, 1065.09, 1374.38, 1439.51, 1459.84, 1464.51, 1513.24, 1544.91, 1573.24, 1661.193, 1706.15]"
THE NOSTALGIA THEORY,https://www.youtube.com/watch?v=HvN7GxrRtNA,[740.85]
The US & Canada’s Only Border Dispute Over Land,https://www.youtube.com/watch?v=ROIK9_zh5Ts,"[32.21, 51.21, 72.57, 255.13]"
Why New York City is so Huge,https://www.youtube.com/watch?v=McLgpck2i7A,"[28.97, 38.24, 97.48, 99.15]"
How The U.S. Stole the Middle East,https://www.youtube.com/watch?v=YnOdULpV810,[1184.64]
VOX BORDERS IS CANCELED,https://www.youtube.com/watch?v=wILAAYhKQnY,[236.28]
"You Ask, I Answer | Q&A",https://www.youtube.com/watch?v=iXLfXm0QTkE,"[21.119, 76.32, 84.56, 103.04, 122.24, 213.04, 216.319, 892.32, 909.12, 913.6, 917.36, 924.16]"
How the U.S. Snagged All These Islands,https://www.youtube.com/watch?v=W9KFkBvJcR4,[6.66]
How the U.S. Stole Mexico,https://www.youtube.com/watch?v=3OMmxKiG4LE,"[213.68, 224.86, 230.3, 256.968]"
Why Americans Eat Dessert for Breakfast,https://www.youtube.com/watch?v=kNovwPIWr3Q,[413.126]
How the U.S. Stole an Island,https://www.youtube.com/watch?v=e1EymGBTl-A,"[121.3, 161.62, 212.98]"
How Switzerland Stayed Neutral,https://www.youtube.com/watch?v=YeAxxMZf1O4,[14.81]
"The International Date Line, Explained",https://www.youtube.com/watch?v=aBppb2quqkE,"[70.13, 78.63, 94.23, 341.95, 343.76, 398.59, 606.02, 715.14, 724.65, 726.543, 782.77, 788.893, 804.92, 807.41, 822.88, 853.8]"
How We Mapped the Stars,https://www.youtube.com/watch?v=JWpJjsou99c,"[6.91, 18.369, 25.81, 62.8, 79.73, 185.15, 371.389, 450.479, 552.209, 828.059]"
How to Map a Virus,https://www.youtube.com/watch?v=ZEWbOsRgV70,"[42.49, 108.53, 114.02, 221.81, 244.909, 251.87, 271.789, 295.49, 316.58, 448.43, 493.19]"
The Longest Border in the World,https://www.youtube.com/watch?v=Vvvicd07zCs,"[93.15, 103.99, 300.41, 447.87, 622.253]"
"Why Canada's Mountains Feel Like Switzerland | Banff, Lake Louise, and Sunshine Village",https://www.youtube.com/watch?v=eOa1zbBureI,[657.37]
Why People Think the World is Flat,https://www.youtube.com/watch?v=IwJzsE8CvzQ,"[830.12, 835.87, 841.91]"
The Biggest Project of my Life,https://www.youtube.com/watch?v=8njOx9sFBQc,[316.32]
Why Britain is the Center of the World,https://www.youtube.com/watch?v=g52A2CPEi4A,"[19.01, 23.91, 29.41, 69.33, 178.46, 215.63, 243.39, 249.64, 262.43, 266.98, 361.68, 396.18, 456.46, 485.29, 493.54, 534.86, 773.5]"
How the Dutch Beat the Ocean | Why Amsterdam Has Canals,https://www.youtube.com/watch?v=XoEZvSl5Cg8,"[50.96, 54.27, 123.07]"
Utah's Best Hike,https://www.youtube.com/watch?v=6AeZTFOrmaw,"[89.82, 121.68]"
How to Remember Your Life,https://www.youtube.com/watch?v=GLy4VKeYxD4,[781.52]
I Built My Dream Studio,https://www.youtube.com/watch?v=VzAErq53yZk,"[416.65, 419.92]"
Why Everyone is Going to Iceland Lately,https://www.youtube.com/watch?v=Rb32VopxmlA,[252.49]
How I Got My Job at Vox | Lessons About Getting a Job in Video,https://www.youtube.com/watch?v=hzwfWzGmCnw,"[368.51, 416.57]"
